created,description,exclude_psab,ignore_threshold,is_aro_identified,is_aro_reviewed,is_contaminated,is_contributed,is_gov_transfer,is_heritage,is_import,is_leased,is_locked,is_recycled,is_water_service,is_wastewater_service,is_wip,is_works,historical_cost,name,profile_id,service_date,updated,valuation_cost,class_classification_id,category_classification_id,segment_classification_id,is_disposed,id,profile_id_used,profile_name,import_id
2020-01-07 16:07:04.894611+00,Akamina Road To Wall Lake; Additional notes: not damaged during wildfire in 2017 ; Item description: BRIDGE OVER WALL CREEK AT LAKE OUTFLOW; Specifications: LOG ;,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3300.0,Trail Bridge,253,1992-01-01,2026-04-28 08:50:10.685393+00,5130.0,13184,21525,21526,False,46340,253,Trail Bridge,
2020-01-07 16:07:04.894611+00,Forum Lake Trail; Additional notes: not damaged during wildfire in 2017 ; Item description: LOG FOOT BRIDGE OVER FORUM CREEK; Specifications: AAA \\;,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3300.0,Trail Bridge,253,1992-01-01,2026-04-28 08:50:10.685393+00,5130.0,13184,21525,21526,False,46341,253,Trail Bridge,
2020-01-07 16:07:04.894611+00,Ancient Forest Day Use,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,78971.0,Trail Bridge,253,2017-01-01,2026-04-28 08:50:10.685393+00,83000.0,13184,21525,21526,False,46614,253,Trail Bridge,
2020-01-07 16:07:04.894611+00,Nisga'A Backcountry; Item description: 5 FOOT BRIDGES VOLCANIC CONE TRAIL;,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,36400.0,Trail Bridge,253,1996-01-01,2026-01-14 00:17:59.51265+00,51300.0,13184,21525,21526,True,46723,253,Trail Bridge,
2020-01-07 16:07:04.894611+00,Bridge over Danny Moore Creek. Wood decking on steel I beams.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,45493.0,Danny Moore Bridge,253,2013-09-01,2026-04-28 08:50:10.685393+00,50000.0,13184,21525,21526,False,46922,253,Trail Bridge,
2020-01-07 16:07:04.894611+00,Two stringer log bridge,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,42.0,Trail Bridge,253,2007-01-01,2026-01-28 16:59:24.115398+00,50.0,13184,21525,21526,True,46923,253,Trail Bridge,
2020-01-07 16:07:04.894611+00,"36"" X 6"" STRINGERS 6' X 2"" X 6"" DECKING PRESSURE TREATED ;",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4308.0,Trail Bridge near trailhead,253,2007-01-01,2026-04-28 08:50:10.685393+00,5130.0,13184,21525,21526,False,46924,253,Trail Bridge,
2020-01-07 16:07:04.894611+00,"10""X10""X22' wood stringers 2"" X 6"" X 3' wood decking",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4308.0,Trail Bridge- 18' approx,253,2007-01-01,2026-04-28 08:50:10.685393+00,5130.0,13184,21525,21526,False,46925,253,Trail Bridge,
2020-01-07 16:07:04.894611+00,"STRINGERS 10""X10""X18FT DECKINGROUGH CUT 2X6 3FEET WIDE ;",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1092.0,Trail Bridge,253,2007-01-01,2026-04-28 08:50:10.685393+00,1300.0,13184,21525,21526,False,46926,253,Trail Bridge,
2020-01-07 16:07:04.894611+00,"18"" square by 7m long",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1123.0,Trail Bridge at SK Mine,253,2001-01-01,2026-01-28 16:59:24.115398+00,1500.0,13184,21525,21526,True,46927,253,Trail Bridge,
2020-01-07 16:07:04.894611+00,"17.5"" square beam, 23'4"" long with railing",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1123.0,Silver King Creek Bridge,253,2001-01-01,2026-01-28 16:59:24.115398+00,1500.0,13184,21525,21526,True,46928,253,Trail Bridge,
2020-01-07 16:07:04.894611+00,Log bridge,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,173.0,Trail Bridge,253,2010-01-01,2026-04-28 08:50:10.685393+00,200.0,13184,21525,21526,False,46929,253,Trail Bridge,
2020-01-07 16:07:04.894611+00,Log bridge in Higgins Basin,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,389.0,Upper Higgins Creek bridge,253,2003-01-01,2026-04-28 08:50:10.685393+00,500.0,13184,21525,21526,False,46931,253,Trail Bridge,
