attribute_definition_id,attribute_definition_name,value,id,asset_id,profile_id
3,GIS ID,bridges.46340,287119,46340,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936223,46340,253
198,Width,1,936224,46340,253
204,acs Is Asset Accessible,No,936225,46340,253
205,acs Is the Route to the Asset Accessible,No Was Not Designed To Be,936226,46340,253
216,Decking Material,Timber,936227,46340,253
217,Structure Material,Timber,936228,46340,253
218,Has Pedestrian Railing,TBD,936229,46340,253
221,Length,7,936230,46340,253
223,Load Capacity,500,936231,46340,253
228,Bridge Type,Beam,936232,46340,253
229,Abutment Material,Timber,936233,46340,253
231,Vehicle Access,No,936234,46340,253
219,Has Edge Guard,No,2377879,46340,253
209,Surface Material,Wood or Timber,2551799,46340,253
345,acs Accessible Priority,Medium,2943519,46340,253
306,Next Inspection by Staff,2025-08-14,2987938,46340,253
347,Height,1,3016893,46340,253
226,Fall Height,-1,3022700,46340,253
292,Last Inspection by Qualified Professional,1992-01-01,3033784,46340,253
360,PO2026 Agrmt Priority,Not Applicable,3087601,46340,253
3,GIS ID,bridges.46341,287123,46341,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936235,46341,253
198,Width,1.00,936236,46341,253
204,acs Is Asset Accessible,No,936237,46341,253
205,acs Is the Route to the Asset Accessible,No,936238,46341,253
216,Decking Material,Timber,936239,46341,253
217,Structure Material,Timber,936240,46341,253
218,Has Pedestrian Railing,No railings,936241,46341,253
221,Length,4.0,936242,46341,253
223,Load Capacity,1.00,936243,46341,253
228,Bridge Type,Beam,936244,46341,253
229,Abutment Material,Timber,936245,46341,253
231,Vehicle Access,No,936246,46341,253
219,Has Edge Guard,No,2377880,46341,253
209,Surface Material,TBD,2551800,46341,253
306,Next Inspection by Staff,2026-05-01,2689971,46341,253
293,Next Inspection by Qualified Professional,1997-01-01,2812344,46341,253
345,acs Accessible Priority,Medium,2943520,46341,253
347,Height,1,3016894,46341,253
226,Fall Height,-1,3022701,46341,253
292,Last Inspection by Qualified Professional,1992-01-01,3033785,46341,253
360,PO2026 Agrmt Priority,Not Applicable,3087602,46341,253
3,GIS ID,bridges.46614,288215,46614,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936259,46614,253
198,Width,1,936260,46614,253
204,acs Is Asset Accessible,No,936261,46614,253
205,acs Is the Route to the Asset Accessible,No,936262,46614,253
216,Decking Material,Timber,936263,46614,253
217,Structure Material,Timber,936264,46614,253
218,Has Pedestrian Railing,TBD,936265,46614,253
221,Length,10,936266,46614,253
223,Load Capacity,0,936267,46614,253
228,Bridge Type,Beam,936268,46614,253
229,Abutment Material,Timber,936269,46614,253
231,Vehicle Access,No,936270,46614,253
219,Has Edge Guard,Yes,2377885,46614,253
209,Surface Material,TBD,2551805,46614,253
306,Next Inspection by Staff,2026-05-01,2690191,46614,253
293,Next Inspection by Qualified Professional,2022-01-01,2812394,46614,253
345,acs Accessible Priority,Medium,2943567,46614,253
347,Height,1,3016895,46614,253
226,Fall Height,2,3022708,46614,253
292,Last Inspection by Qualified Professional,2017-01-01,3033831,46614,253
360,PO2026 Agrmt Priority,Not Applicable,3078789,46614,253
3,GIS ID,bridges.46723,288651,46723,253
67,"Material (Frame, Tank, Body)",TBD,936283,46723,253
198,Width,1,936284,46723,253
204,acs Is Asset Accessible,Not Required,936285,46723,253
205,acs Is the Route to the Asset Accessible,Not Required,936286,46723,253
216,Decking Material,TBD,936287,46723,253
217,Structure Material,TBD,936288,46723,253
218,Has Pedestrian Railing,No railings,936289,46723,253
221,Length,0,936290,46723,253
223,Load Capacity,0,936291,46723,253
228,Bridge Type,TBD,936292,46723,253
229,Abutment Material,TBD,936293,46723,253
231,Vehicle Access,No,936294,46723,253
219,Has Edge Guard,No,2377888,46723,253
209,Surface Material,TBD,2551808,46723,253
345,acs Accessible Priority,Not Applicable,2819652,46723,253
347,Height,0,3016896,46723,253
306,Next Inspection by Staff,2026-05-01,3041683,46723,253
360,PO2026 Agrmt Priority,Not Applicable,3076802,46723,253
3,GIS ID,bridges.46922,289447,46922,253
67,"Material (Frame, Tank, Body)",Steel,936307,46922,253
198,Width,2,936308,46922,253
204,acs Is Asset Accessible,TBD,936309,46922,253
205,acs Is the Route to the Asset Accessible,TBD,936310,46922,253
216,Decking Material,Timber,936311,46922,253
217,Structure Material,Steel,936312,46922,253
218,Has Pedestrian Railing,No railings,936313,46922,253
221,Length,10,936314,46922,253
223,Load Capacity,5000,936315,46922,253
228,Bridge Type,Beam,936316,46922,253
229,Abutment Material,TBD,936317,46922,253
231,Vehicle Access,Yes,936318,46922,253
219,Has Edge Guard,Yes,2377892,46922,253
209,Surface Material,Wood or Timber,2551812,46922,253
306,Next Inspection by Staff,2027-01-14,2690407,46922,253
293,Next Inspection by Qualified Professional,2018-09-01,2812413,46922,253
345,acs Accessible Priority,Medium,2943658,46922,253
347,Height,2,3016897,46922,253
226,Fall Height,-1,3022713,46922,253
292,Last Inspection by Qualified Professional,2013-09-01,3033848,46922,253
360,PO2026 Agrmt Priority,Not Applicable,3078867,46922,253
3,GIS ID,bridges.46923,289451,46923,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936319,46923,253
198,Width,1,936320,46923,253
204,acs Is Asset Accessible,TBD,936321,46923,253
205,acs Is the Route to the Asset Accessible,TBD,936322,46923,253
216,Decking Material,TBD,936323,46923,253
217,Structure Material,Timber,936324,46923,253
218,Has Pedestrian Railing,No railings,936325,46923,253
221,Length,3,936326,46923,253
223,Load Capacity,200,936327,46923,253
228,Bridge Type,Beam,936328,46923,253
229,Abutment Material,TBD,936329,46923,253
231,Vehicle Access,No,936330,46923,253
219,Has Edge Guard,No,2377893,46923,253
209,Surface Material,Wood or Timber,2551813,46923,253
306,Next Inspection by Staff,2027-01-15,2690408,46923,253
293,Next Inspection by Qualified Professional,2012-01-01,2812414,46923,253
345,acs Accessible Priority,Medium,2943659,46923,253
347,Height,2,3016898,46923,253
226,Fall Height,-1,3022714,46923,253
292,Last Inspection by Qualified Professional,2007-01-01,3033849,46923,253
360,PO2026 Agrmt Priority,Not Applicable,3076810,46923,253
3,GIS ID,bridges.46924,289455,46924,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936331,46924,253
198,Width,1,936332,46924,253
204,acs Is Asset Accessible,TBD,936333,46924,253
205,acs Is the Route to the Asset Accessible,TBD,936334,46924,253
216,Decking Material,Timber,936335,46924,253
217,Structure Material,Timber,936336,46924,253
218,Has Pedestrian Railing,No railings,936337,46924,253
221,Length,2,936338,46924,253
223,Load Capacity,0,936339,46924,253
228,Bridge Type,Beam,936340,46924,253
229,Abutment Material,TBD,936341,46924,253
231,Vehicle Access,No,936342,46924,253
219,Has Edge Guard,No,2377894,46924,253
209,Surface Material,TBD,2551814,46924,253
306,Next Inspection by Staff,2027-01-14,2690409,46924,253
293,Next Inspection by Qualified Professional,2012-01-01,2812415,46924,253
345,acs Accessible Priority,Medium,2943660,46924,253
347,Height,1,3016899,46924,253
226,Fall Height,-1,3022715,46924,253
292,Last Inspection by Qualified Professional,2007-01-01,3033850,46924,253
360,PO2026 Agrmt Priority,Not Applicable,3078868,46924,253
3,GIS ID,bridges.46925,289459,46925,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936343,46925,253
198,Width,1,936344,46925,253
204,acs Is Asset Accessible,TBD,936345,46925,253
205,acs Is the Route to the Asset Accessible,TBD,936346,46925,253
216,Decking Material,Timber,936347,46925,253
217,Structure Material,Timber,936348,46925,253
218,Has Pedestrian Railing,No railings,936349,46925,253
221,Length,8,936350,46925,253
223,Load Capacity,500,936351,46925,253
228,Bridge Type,Beam,936352,46925,253
229,Abutment Material,TBD,936353,46925,253
231,Vehicle Access,No,936354,46925,253
219,Has Edge Guard,No,2377895,46925,253
209,Surface Material,Wood or Timber,2551815,46925,253
306,Next Inspection by Staff,2027-01-14,2690410,46925,253
293,Next Inspection by Qualified Professional,2012-01-01,2812416,46925,253
345,acs Accessible Priority,Medium,2943661,46925,253
347,Height,1,3016900,46925,253
226,Fall Height,-1,3022716,46925,253
292,Last Inspection by Qualified Professional,2007-01-01,3033851,46925,253
360,PO2026 Agrmt Priority,Not Applicable,3078869,46925,253
3,GIS ID,bridges.46926,289463,46926,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936355,46926,253
198,Width,1,936356,46926,253
204,acs Is Asset Accessible,TBD,936357,46926,253
205,acs Is the Route to the Asset Accessible,TBD,936358,46926,253
216,Decking Material,Timber,936359,46926,253
217,Structure Material,Timber,936360,46926,253
218,Has Pedestrian Railing,No railings,936361,46926,253
221,Length,6,936362,46926,253
223,Load Capacity,300,936363,46926,253
228,Bridge Type,Beam,936364,46926,253
229,Abutment Material,TBD,936365,46926,253
231,Vehicle Access,No,936366,46926,253
219,Has Edge Guard,No,2377896,46926,253
209,Surface Material,Wood or Timber,2551816,46926,253
306,Next Inspection by Staff,2027-01-14,2690411,46926,253
293,Next Inspection by Qualified Professional,2012-01-01,2812417,46926,253
345,acs Accessible Priority,Medium,2943662,46926,253
347,Height,1,3016901,46926,253
226,Fall Height,-1,3022717,46926,253
292,Last Inspection by Qualified Professional,2007-01-01,3033852,46926,253
360,PO2026 Agrmt Priority,Not Applicable,3078870,46926,253
3,GIS ID,bridges.46927,289467,46927,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936367,46927,253
198,Width,0.5,936368,46927,253
204,acs Is Asset Accessible,TBD,936369,46927,253
205,acs Is the Route to the Asset Accessible,TBD,936370,46927,253
216,Decking Material,Timber,936371,46927,253
217,Structure Material,Timber,936372,46927,253
218,Has Pedestrian Railing,TBD,936373,46927,253
221,Length,7,936374,46927,253
223,Load Capacity,500,936375,46927,253
228,Bridge Type,Beam,936376,46927,253
229,Abutment Material,TBD,936377,46927,253
231,Vehicle Access,No,936378,46927,253
219,Has Edge Guard,No,2377897,46927,253
209,Surface Material,Wood or Timber,2551817,46927,253
306,Next Inspection by Staff,2027-01-14,2690412,46927,253
293,Next Inspection by Qualified Professional,2024-05-01,2812418,46927,253
345,acs Accessible Priority,TBD,2943663,46927,253
347,Height,1,3016902,46927,253
360,PO2026 Agrmt Priority,Not Applicable,3076811,46927,253
3,GIS ID,bridges.46928,289471,46928,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936379,46928,253
198,Width,0.5,936380,46928,253
204,acs Is Asset Accessible,TBD,936381,46928,253
205,acs Is the Route to the Asset Accessible,TBD,936382,46928,253
216,Decking Material,Timber,936383,46928,253
217,Structure Material,Timber,936384,46928,253
218,Has Pedestrian Railing,TBD,936385,46928,253
221,Length,8,936386,46928,253
223,Load Capacity,500,936387,46928,253
228,Bridge Type,Beam,936388,46928,253
229,Abutment Material,TBD,936389,46928,253
231,Vehicle Access,No,936390,46928,253
219,Has Edge Guard,No,2377898,46928,253
209,Surface Material,Wood or Timber,2551818,46928,253
306,Next Inspection by Staff,2027-01-14,2690413,46928,253
293,Next Inspection by Qualified Professional,2024-05-01,2812419,46928,253
345,acs Accessible Priority,TBD,2943664,46928,253
347,Height,1,3016903,46928,253
360,PO2026 Agrmt Priority,Not Applicable,3076812,46928,253
3,GIS ID,bridges.46929,289475,46929,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936391,46929,253
198,Width,1,936392,46929,253
204,acs Is Asset Accessible,TBD,936393,46929,253
205,acs Is the Route to the Asset Accessible,TBD,936394,46929,253
216,Decking Material,TBD,936395,46929,253
217,Structure Material,Timber,936396,46929,253
218,Has Pedestrian Railing,No railings,936397,46929,253
221,Length,5,936398,46929,253
223,Load Capacity,300,936399,46929,253
228,Bridge Type,Beam,936400,46929,253
229,Abutment Material,TBD,936401,46929,253
231,Vehicle Access,No,936402,46929,253
219,Has Edge Guard,No,2377899,46929,253
209,Surface Material,Wood or Timber,2551819,46929,253
306,Next Inspection by Staff,2027-01-14,2690414,46929,253
293,Next Inspection by Qualified Professional,2015-01-01,2812420,46929,253
345,acs Accessible Priority,Medium,2943665,46929,253
347,Height,1,3016904,46929,253
226,Fall Height,-1,3022718,46929,253
292,Last Inspection by Qualified Professional,2010-01-01,3033853,46929,253
360,PO2026 Agrmt Priority,Not Applicable,3078871,46929,253
3,GIS ID,bridges.46931,289483,46931,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936415,46931,253
198,Width,1,936416,46931,253
204,acs Is Asset Accessible,TBD,936417,46931,253
205,acs Is the Route to the Asset Accessible,TBD,936418,46931,253
216,Decking Material,Timber,936419,46931,253
217,Structure Material,Timber,936420,46931,253
218,Has Pedestrian Railing,TBD,936421,46931,253
221,Length,8,936422,46931,253
223,Load Capacity,500,936423,46931,253
228,Bridge Type,Beam,936424,46931,253
229,Abutment Material,TBD,936425,46931,253
231,Vehicle Access,No,936426,46931,253
219,Has Edge Guard,No,2377901,46931,253
209,Surface Material,Wood or Timber,2551821,46931,253
306,Next Inspection by Staff,2027-01-15,2690415,46931,253
293,Next Inspection by Qualified Professional,2008-01-01,2812421,46931,253
345,acs Accessible Priority,Medium,2943666,46931,253
347,Height,2,3016905,46931,253
226,Fall Height,-1,3022719,46931,253
292,Last Inspection by Qualified Professional,2003-01-01,3033854,46931,253
360,PO2026 Agrmt Priority,Not Applicable,3078872,46931,253
3,GIS ID,bridges.46932,289487,46932,253
67,"Material (Frame, Tank, Body)",Timber/Wood,936427,46932,253
198,Width,1,936428,46932,253
204,acs Is Asset Accessible,TBD,936429,46932,253
205,acs Is the Route to the Asset Accessible,TBD,936430,46932,253
216,Decking Material,Timber,936431,46932,253
217,Structure Material,Timber,936432,46932,253
218,Has Pedestrian Railing,No railings,936433,46932,253
221,Length,5,936434,46932,253
223,Load Capacity,500,936435,46932,253
