image_path,file_exists,status,bytes,asset_id,profile_id,profile_name,name,description,file_id,filename,mime_type,service_date,historical_cost,valuation_cost,is_disposed,updated,attr_Abutment Material,attr_Adjacent Slope,attr_Area,attr_Bldg Number of Months in Use,attr_Bridge Type,attr_Cross Slope Average,attr_Cross Slope Max,attr_Decking Material,attr_Distance Between Benches,attr_Fall Height,attr_GIS ID,attr_Has Edge Guard,attr_Has Pedestrian Railing,attr_Has Pedestrian Walkway,attr_Height,attr_Last Inspection by Qualified Professional,attr_Length,attr_Load Capacity,attr_Manufacturer,"attr_Material (Frame, Tank, Body)",attr_Next Inspection by Qualified Professional,attr_Next Inspection by Staff,attr_Number of Steps,attr_Obstacle Max Height,attr_PO2026 Agrmt Priority,attr_Pipe Diameter,attr_Quantity of Shots,attr_Sign Mount Type,attr_Structure Material,attr_Structure Position,attr_Surface Material,attr_Tent Pad Type,attr_Tool Station Available,attr_Trail Gradient Average,attr_Trail Gradient Max,attr_Trail Surface Description,attr_Trail Use Type,attr_Trail Width Average,attr_Trail Width Minimum,attr_Vehicle Access,attr_Width,attr_acs Accessible Priority,attr_acs Is Asset Accessible,attr_acs Is the Route to the Asset Accessible
data/citywide/images/337/48117/86997__AST_EX_20250818_114301.jpeg,True,skip,133943,48117,337,Boardwalk < 1.2m High,Boardwalk,Item description: PRESSURE TREATED WOOD UNIT; Specifications: 100 FT3 FT WIDE ; Comments: ELEVATED WALKWAY TO THE PIT TOILET,86997,AST_EX_20250818_114301.jpeg,image/jpeg,1997-01-01,11248.0,15750.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1.00,structures.48117,No,No railings,,1.00,,120.00,,,Timber/Wood,,2028-08-18,,,med,,,,Timber,,,,,,,,,,,,1.00,TBD,No,No
data/citywide/images/337/46933/59582__IMG_2182.JPG,True,skip,4614821,46933,337,Boardwalk < 1.2m High,Lower Boardwalk by trailhead,"2""x8""x8' decking on 6""x6"" sills, # sills & # sections?",59582,IMG_2182.JPG,image/jpeg,2003-01-01,52523.0,67500.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.46933,No,No railings,,0,,150,,,Timber/Wood,,2029-01-14,,,Not Applicable,,,,Timber,,,,,,,,,,,,0.5,TBD,TBD,TBD
data/citywide/images/337/47664/86079__AST_EX_20250803_081025.jpeg,True,skip,145049,47664,337,Boardwalk < 1.2m High,Boardwalk,Bishop Bay Hs Backcountry; Boardwalk at Bishop Bay Hot Springs. Last repaired via a Capital Project in 2009.; Boardwalk at Bishop Bay Hot Springs.; About 200 m of boardwalk; mostly red cedar; stringers a,86079,AST_EX_20250803_081025.jpeg,image/jpeg,1995-01-01,244838.0,350000.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1.00,structures.47664,No,No railings,,1.00,,200.00,,,Timber/Wood,,2028-08-03,,,Not Applicable,,,,Timber,,,,,,,,,,,,0.00,TBD,TBD,TBD
data/citywide/images/337/46935/59882__IMG_1070.JPG,True,skip,5722746,46935,337,Boardwalk < 1.2m High,Boardwalk at 5km,8' wide wood decked boardwalk with log stringers,59882,IMG_1070.JPG,image/jpeg,2000-01-01,4909.0,6750.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.46935,No,No railings,,0,,15,,,Timber/Wood,,2029-01-14,,,Not Applicable,,,,Timber,,,,,,,,,,,,3,TBD,TBD,TBD
data/citywide/images/337/46615/7974__AST_EX_20210725_102426.jpeg,True,skip,1002445,46615,337,Boardwalk < 1.2m High,Boardwalk,Ancient Forest Day Use; Specifications: Cedar/Universal Boardwalk 2600 m. Wheelchair accesible ;,7974,AST_EX_20210725_102426.jpeg,image/jpeg,2014-01-01,1055524.0,1170000.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.46615,No,No railings,,1,,2600,,,Timber/Wood,,2026-05-01,,,Not Applicable,,,,Timber,,,,,,,,,,,,0,TBD,Yes,Yes
data/citywide/images/337/46615/7975__AST_EX_20210725_102345.jpeg,True,skip,889543,46615,337,Boardwalk < 1.2m High,Boardwalk,Ancient Forest Day Use; Specifications: Cedar/Universal Boardwalk 2600 m. Wheelchair accesible ;,7975,AST_EX_20210725_102345.jpeg,image/jpeg,2014-01-01,1055524.0,1170000.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1,structures.46615,No,No railings,,1,,2600,,,Timber/Wood,,2026-05-01,,,Not Applicable,,,,Timber,,,,,,,,,,,,0,TBD,Yes,Yes
data/citywide/images/337/47664/86081__AST_EX_20250803_081016.jpeg,True,skip,103735,47664,337,Boardwalk < 1.2m High,Boardwalk,Bishop Bay Hs Backcountry; Boardwalk at Bishop Bay Hot Springs. Last repaired via a Capital Project in 2009.; Boardwalk at Bishop Bay Hot Springs.; About 200 m of boardwalk; mostly red cedar; stringers a,86081,AST_EX_20250803_081016.jpeg,image/jpeg,1995-01-01,244838.0,350000.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1.00,structures.47664,No,No railings,,1.00,,200.00,,,Timber/Wood,,2028-08-03,,,Not Applicable,,,,Timber,,,,,,,,,,,,0.00,TBD,TBD,TBD
data/citywide/images/337/48119/13815__MI_20210809_144926.jpg,True,skip,2745305,48119,337,Boardwalk < 1.2m High,Boardwalk,Indian Point - Isaac Lake,13815,MI_20210809_144926.jpg,image/jpeg,2006-01-01,2957.0,3600.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1.00,structures.48119,No,No railings,,1.50,,8.00,,,Timber/Wood,,2028-08-07,,,med,,,,Timber,,,,,,,,,,,,1.50,TBD,No,No
data/citywide/images/337/47664/86084__AST_EX_20250803_080930.jpeg,True,skip,154146,47664,337,Boardwalk < 1.2m High,Boardwalk,Bishop Bay Hs Backcountry; Boardwalk at Bishop Bay Hot Springs. Last repaired via a Capital Project in 2009.; Boardwalk at Bishop Bay Hot Springs.; About 200 m of boardwalk; mostly red cedar; stringers a,86084,AST_EX_20250803_080930.jpeg,image/jpeg,1995-01-01,244838.0,350000.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1.00,structures.47664,No,No railings,,1.00,,200.00,,,Timber/Wood,,2028-08-03,,,Not Applicable,,,,Timber,,,,,,,,,,,,0.00,TBD,TBD,TBD
data/citywide/images/337/48119/86267__AST_EX_20250807_142035.jpeg,True,skip,114547,48119,337,Boardwalk < 1.2m High,Boardwalk,Indian Point - Isaac Lake,86267,AST_EX_20250807_142035.jpeg,image/jpeg,2006-01-01,2957.0,3600.0,False,2026-04-28 08:50:10.685393+00,,,,,,,,Timber,,-1.00,structures.48119,No,No railings,,1.50,,8.00,,,Timber/Wood,,2028-08-07,,,med,,,,Timber,,,,,,,,,,,,1.50,TBD,No,No
